Year,CommonName,MigrationType,AnnualCount
2004,Red-bellied Woodpecker,Resident,3
2004,Downy Woodpecker,Resident,9
2004,Hairy Woodpecker,Resident,0
2004,Yellow-shafted Flicker,Resident,2
2004,Pileated Woodpecker,Resident,1
2004,Blue-headed Vireo,Short distance migrant,0
2004,Philadelphia Vireo,Short distance migrant,0
2004,Red-eyed Vireo,Long distance migrant,6
2004,Warbling Vireo,Short distance migrant,0
2004,White-eyed Vireo,Short distance migrant,11
2004,Yellow-throated Vireo,Short distance migrant,0
2004,Carolina Chickadee,Resident,19
2004,Tufted Titmouse,Resident,0
2004,White-breasted Nuthatch,Resident,0
2004,Carolina Wren,Resident,11
2004,Golden-crowned Kinglet,Short distance migrant,1
2004,Ruby-crowned Kinglet,Short distance migrant,4
2004,Blue-gray Gnatcatcher,Short distance migrant,6
2004,Gray-cheeked Thrush,Long distance migrant,0
2004,Hermit Thrush,Short distance migrant,0
2004,Swainson's Thrush,Long distance migrant,34
2004,Wood Thrush,Long distance migrant,23
2004,Bay-breasted Warbler,Long distance migrant,1
2004,Black-and-white Warbler,Short distance migrant,5
2004,Blackburnian Warbler,Long distance migrant,0
2004,Blackpoll Warbler,Long distance migrant,3
2004,Black-throated Blue Warbler,Long distance migrant,2
2004,Black-throated Green Warbler,Long distance migrant,2
2004,Blue-winged Warbler,Long distance migrant,0
2004,Canada Warbler,Long distance migrant,3
2004,Cape May Warbler,Long distance migrant,1
2004,Cerulean Warbler,Long distance migrant,0
2004,Yellow-breasted Chat,Long distance migrant,0
2004,Chestnut-sided Warbler,Long distance migrant,1
2004,Connecticut Warbler,Long distance migrant,0
2004,Golden-winged Warbler,Long distance migrant,0
2004,Hooded Warbler,Long distance migrant,1
2004,Kentucky Warbler,Long distance migrant,6
2004,Magnolia Warbler,Long distance migrant,19
2004,Mourning Warbler,Long distance migrant,2
2004,Nashville Warbler,Long distance migrant,3
2004,Orange-crowned Warbler,Long distance migrant,1
2004,Ovenbird,Long distance migrant,17
2004,Western Palm Warbler,Long distance migrant,1
2004,Northern Parula,Long distance migrant,0
2004,Pine Warbler,Short distance migrant,0
2004,Prairie Warbler,Long distance migrant,12
2004,Prothonotary Warbler,Short distance migrant,0
2004,American Redstart,Long distance migrant,5
2004,Tennessee Warbler,Long distance migrant,6
2004,Wilson's Warbler,Long distance migrant,1
2004,Worm-eating Warbler,Long distance migrant,0
2004,Myrtle Warbler,Short distance migrant,1
2004,Yellow-throated Warbler,Short distance migrant,0
2004,Common Yellowthroat,Short distance migrant,25
2004,Scarlet Tanager,Long distance migrant,1
2004,Summer Tanager,Long distance migrant,0
2004,Eastern Towhee,Short distance migrant,7
2004,Chipping Sparrow,Short distance migrant,0
2004,Field Sparrow,Short distance migrant,25
2004,Savannah Sparrow,Short distance migrant,0
2004,Northern Cardinal,Resident,88
2004,White-crowned Sparrow,Short distance migrant,0
2004,White-throated Sparrow,Short distance migrant,68
2004,Slate-colored Junco,Short distance migrant,3
2004,Baltimore Oriole,Long distance migrant,12
2004,Orchard Oriole,Long distance migrant,3
2005,Red-bellied Woodpecker,Resident,0
2005,Downy Woodpecker,Resident,6
2005,Hairy Woodpecker,Resident,0
2005,Yellow-shafted Flicker,Resident,6
2005,Pileated Woodpecker,Resident,1
